# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-11-20 11:18:13 -05:00	(natwebsdas01)
#
# US Geological Survey groundwater levels
#
# Data for the following 1 site(s) are contained in this file
#    USGS 430429089230301 DN-07/09E/23-0005
# -----------------------------------------------------------------------------------
#
# The fields in this file include:
# ---------------------------------
# agency_cd     Agency code
# site_no       USGS site number
# site_tp_cd    Site type code
# lev_dt        Date level measured
# lev_tm        Time level measured
# lev_tz_cd     Time datum
# lev_va        Water-level value in feet below land surface
# sl_lev_va     Water-level value in feet above specific vertical datum
# sl_datum_cd   Referenced vertical datum
# lev_status_cd Status
# lev_agency_cd Measuring agency
#
# Referenced agency codes (lev_agency_cd) included in this output
#
#     ""         Not Determined
#     USGS       U.S. Geological Survey
#     WI001      Wisconsin Department of Natural Resources
#     WI013      Wisconsin Department of Administration
#
# Referenced site type codes (site_tp_cd) included in this output
#
#     GW         Well
#
# Referenced water-level site status codes (lev_status_cd) included in this output
#
#     ""         The reported water-level measurement represents a static level
#
#
agency_cd	site_no	site_tp_cd	lev_dt	lev_tm	lev_tz_cd	lev_va	sl_lev_va	sl_datum_cd	lev_status_cd	lev_agency_cd
USGS	430429089230301	GW	1956-05-15		UTC	85.47				
USGS	430429089230301	GW	1956-06-15		UTC	85.50				
USGS	430429089230301	GW	1956-07-15		UTC	85.53				
USGS	430429089230301	GW	1956-08-15		UTC	85.57				
USGS	430429089230301	GW	1956-09-15		UTC	85.60				
USGS	430429089230301	GW	1956-10-15		UTC	85.63				
USGS	430429089230301	GW	1956-11-30		UTC	85.66				
USGS	430429089230301	GW	1956-12-01		UTC	85.68				
USGS	430429089230301	GW	1956-12-02		UTC	85.68				
USGS	430429089230301	GW	1956-12-03		UTC	85.62				
USGS	430429089230301	GW	1956-12-04		UTC	85.63				
USGS	430429089230301	GW	1956-12-05		UTC	85.66				
USGS	430429089230301	GW	1956-12-06		UTC	85.73				
USGS	430429089230301	GW	1956-12-07		UTC	85.84				
USGS	430429089230301	GW	1956-12-08		UTC	85.9				
USGS	430429089230301	GW	1956-12-09		UTC	85.9				
USGS	430429089230301	GW	1956-12-10		UTC	85.88				
USGS	430429089230301	GW	1956-12-11		UTC	85.8				
USGS	430429089230301	GW	1956-12-12		UTC	85.79				
USGS	430429089230301	GW	1956-12-13		UTC	85.84				
USGS	430429089230301	GW	1956-12-14		UTC	85.88				
USGS	430429089230301	GW	1956-12-15		UTC	85.9				
USGS	430429089230301	GW	1956-12-16		UTC	85.91				
USGS	430429089230301	GW	1956-12-17		UTC	85.9				
USGS	430429089230301	GW	1956-12-18		UTC	85.92				
USGS	430429089230301	GW	1956-12-19		UTC	85.97				
USGS	430429089230301	GW	1956-12-20		UTC	86.01				
USGS	430429089230301	GW	1956-12-21		UTC	86.04				
USGS	430429089230301	GW	1956-12-22		UTC	86.07				
USGS	430429089230301	GW	1956-12-23		UTC	86.09				
USGS	430429089230301	GW	1956-12-24		UTC	86.08				
USGS	430429089230301	GW	1956-12-25		UTC	86.08				
USGS	430429089230301	GW	1956-12-26		UTC	86.08				
USGS	430429089230301	GW	1956-12-27		UTC	86.07				
USGS	430429089230301	GW	1956-12-28		UTC	86.12				
USGS	430429089230301	GW	1956-12-29		UTC	86.2				
USGS	430429089230301	GW	1956-12-30		UTC	86.22				
USGS	430429089230301	GW	1956-12-31		UTC	86.22				
USGS	430429089230301	GW	1957-01-01		UTC	86.26				
USGS	430429089230301	GW	1957-01-02		UTC	86.29				
USGS	430429089230301	GW	1957-01-03		UTC	86.3				
USGS	430429089230301	GW	1957-01-04		UTC	86.37				
USGS	430429089230301	GW	1957-01-05		UTC	86.43				
USGS	430429089230301	GW	1957-01-06		UTC	86.44				
USGS	430429089230301	GW	1957-01-07		UTC	86.46				
USGS	430429089230301	GW	1957-01-08		UTC	86.5				
USGS	430429089230301	GW	1957-01-09		UTC	86.56				
USGS	430429089230301	GW	1957-01-10		UTC	86.66				
USGS	430429089230301	GW	1957-01-11		UTC	86.74				
USGS	430429089230301	GW	1957-01-12		UTC	86.78				
USGS	430429089230301	GW	1957-01-13		UTC	86.78				
USGS	430429089230301	GW	1957-01-14		UTC	86.78				
USGS	430429089230301	GW	1957-01-15		UTC	86.79				
USGS	430429089230301	GW	1957-01-16		UTC	86.81				
USGS	430429089230301	GW	1957-01-17		UTC	86.84				
USGS	430429089230301	GW	1957-01-18		UTC	86.9				
USGS	430429089230301	GW	1957-01-19		UTC	86.93				
USGS	430429089230301	GW	1957-01-20		UTC	86.93				
USGS	430429089230301	GW	1957-01-21		UTC	86.91				
USGS	430429089230301	GW	1957-01-22		UTC	86.9				
USGS	430429089230301	GW	1957-01-23		UTC	86.98				
USGS	430429089230301	GW	1957-01-24		UTC	87.07				
USGS	430429089230301	GW	1957-01-25		UTC	87.13				
USGS	430429089230301	GW	1957-01-26		UTC	87.2				
USGS	430429089230301	GW	1957-01-27		UTC	87.2				
USGS	430429089230301	GW	1957-01-28		UTC	87.2				
USGS	430429089230301	GW	1957-01-29		UTC	87.2				
USGS	430429089230301	GW	1957-01-30		UTC	87.21				
USGS	430429089230301	GW	1957-01-31		UTC	87.21				
USGS	430429089230301	GW	1957-02-01		UTC	87.23				
USGS	430429089230301	GW	1957-02-02		UTC	87.25				
USGS	430429089230301	GW	1957-02-03		UTC	87.25				
USGS	430429089230301	GW	1957-02-04		UTC	87.19				
USGS	430429089230301	GW	1957-02-05		UTC	87.16				
USGS	430429089230301	GW	1957-02-06		UTC	87.16				
USGS	430429089230301	GW	1957-02-07		UTC	87.17				
USGS	430429089230301	GW	1957-02-08		UTC	87.2				
USGS	430429089230301	GW	1957-02-09		UTC	87.22				
USGS	430429089230301	GW	1957-02-10		UTC	87.21				
USGS	430429089230301	GW	1957-02-11		UTC	87.16				
USGS	430429089230301	GW	1957-02-12		UTC	87.14				
USGS	430429089230301	GW	1957-02-13		UTC	87.13				
USGS	430429089230301	GW	1957-02-14		UTC	87.31				
USGS	430429089230301	GW	1957-02-15		UTC	87.32				
USGS	430429089230301	GW	1957-02-16		UTC	87.32				
USGS	430429089230301	GW	1957-02-17		UTC	87.31				
USGS	430429089230301	GW	1957-02-18		UTC	87.23				
USGS	430429089230301	GW	1957-02-19		UTC	87.18				
USGS	430429089230301	GW	1957-02-20		UTC	87.22				
USGS	430429089230301	GW	1957-02-21		UTC	87.22				
USGS	430429089230301	GW	1957-02-22		UTC	87.29				
USGS	430429089230301	GW	1957-02-23		UTC	87.3				
USGS	430429089230301	GW	1957-02-24		UTC	87.3				
USGS	430429089230301	GW	1957-02-25		UTC	87.16				
USGS	430429089230301	GW	1957-02-26		UTC	87.06				
USGS	430429089230301	GW	1957-02-27		UTC	87.11				
USGS	430429089230301	GW	1957-02-28		UTC	87.15				
USGS	430429089230301	GW	1957-03-01		UTC	87.19				
USGS	430429089230301	GW	1957-03-02		UTC	87.21				
USGS	430429089230301	GW	1957-03-03		UTC	87.21				
USGS	430429089230301	GW	1957-03-04		UTC	87.19				
USGS	430429089230301	GW	1957-03-05		UTC	87.16				
USGS	430429089230301	GW	1957-03-06		UTC	87.19				
USGS	430429089230301	GW	1957-03-07		UTC	87.26				
USGS	430429089230301	GW	1957-03-08		UTC	87.29				
USGS	430429089230301	GW	1957-03-09		UTC	87.31				
USGS	430429089230301	GW	1957-03-10		UTC	87.31				
USGS	430429089230301	GW	1957-03-11		UTC	87.29				
USGS	430429089230301	GW	1957-03-12		UTC	87.17				
USGS	430429089230301	GW	1957-03-13		UTC	87.21				
USGS	430429089230301	GW	1957-03-14		UTC	87.26				
USGS	430429089230301	GW	1957-03-15		UTC	87.3				
USGS	430429089230301	GW	1957-03-16		UTC	87.39				
USGS	430429089230301	GW	1957-03-17		UTC	87.4				
USGS	430429089230301	GW	1957-03-18		UTC	87.39				
USGS	430429089230301	GW	1957-03-19		UTC	87.34				
USGS	430429089230301	GW	1957-03-20		UTC	87.3				
USGS	430429089230301	GW	1957-03-21		UTC	87.37				
USGS	430429089230301	GW	1957-03-22		UTC	87.37				
USGS	430429089230301	GW	1957-03-23		UTC	87.38				
USGS	430429089230301	GW	1957-03-24		UTC	87.37				
USGS	430429089230301	GW	1957-03-25		UTC	87.3				
USGS	430429089230301	GW	1957-03-26		UTC	87.22				
USGS	430429089230301	GW	1957-03-27		UTC	87.24				
USGS	430429089230301	GW	1957-03-28		UTC	87.28				
USGS	430429089230301	GW	1957-03-29		UTC	87.32				
USGS	430429089230301	GW	1957-03-30		UTC	87.37				
USGS	430429089230301	GW	1957-03-31		UTC	87.37				
USGS	430429089230301	GW	1957-04-01		UTC	87.31				
USGS	430429089230301	GW	1957-04-02		UTC	87.29				
USGS	430429089230301	GW	1957-04-03		UTC	87.37				
USGS	430429089230301	GW	1957-04-04		UTC	87.37				
USGS	430429089230301	GW	1957-04-05		UTC	87.31				
USGS	430429089230301	GW	1957-04-06		UTC	87.25				
USGS	430429089230301	GW	1957-04-07		UTC	87.2				
USGS	430429089230301	GW	1957-04-08		UTC	87.13				
USGS	430429089230301	GW	1957-04-09		UTC	87.06				
USGS	430429089230301	GW	1957-04-10		UTC	87.03				
USGS	430429089230301	GW	1957-04-11		UTC	87.03				
USGS	430429089230301	GW	1957-04-12		UTC	87.04				
USGS	430429089230301	GW	1957-04-13		UTC	87.07				
USGS	430429089230301	GW	1957-04-14		UTC	87.06				
USGS	430429089230301	GW	1957-04-15		UTC	87				
USGS	430429089230301	GW	1957-04-16		UTC	86.9				
USGS	430429089230301	GW	1957-04-17		UTC	86.85				
USGS	430429089230301	GW	1957-04-18		UTC	86.89				
USGS	430429089230301	GW	1957-04-19		UTC	86.93				
USGS	430429089230301	GW	1957-04-20		UTC	86.93				
USGS	430429089230301	GW	1957-04-21		UTC	86.92				
USGS	430429089230301	GW	1957-04-22		UTC	86.87				
USGS	430429089230301	GW	1957-04-23		UTC	86.79				
USGS	430429089230301	GW	1957-04-24		UTC	86.74				
USGS	430429089230301	GW	1957-04-25		UTC	86.87				
USGS	430429089230301	GW	1957-04-26		UTC	87.01				
USGS	430429089230301	GW	1957-04-27		UTC	87.11				
USGS	430429089230301	GW	1957-04-28		UTC	87.15				
USGS	430429089230301	GW	1957-04-29		UTC	87.15				
USGS	430429089230301	GW	1957-04-30		UTC	87.09				
USGS	430429089230301	GW	1957-05-01		UTC	87.13				
USGS	430429089230301	GW	1957-05-02		UTC	87.23				
USGS	430429089230301	GW	1957-05-03		UTC	87.36				
USGS	430429089230301	GW	1957-05-04		UTC	87.48				
USGS	430429089230301	GW	1957-05-05		UTC	87.48				
USGS	430429089230301	GW	1957-05-06		UTC	87.42				
USGS	430429089230301	GW	1957-05-07		UTC	87.34				
USGS	430429089230301	GW	1957-05-08		UTC	87.53				
USGS	430429089230301	GW	1957-05-09		UTC	87.84				
USGS	430429089230301	GW	1957-05-10		UTC	88.01				
USGS	430429089230301	GW	1957-05-11		UTC	88.02				
USGS	430429089230301	GW	1957-05-12		UTC	88.02				
USGS	430429089230301	GW	1957-05-13		UTC	87.89				
USGS	430429089230301	GW	1957-05-14		UTC	87.7				
USGS	430429089230301	GW	1957-05-15		UTC	87.61				
USGS	430429089230301	GW	1957-05-16		UTC	87.68				
USGS	430429089230301	GW	1957-05-17		UTC	87.69				
USGS	430429089230301	GW	1957-05-18		UTC	87.69				
USGS	430429089230301	GW	1957-05-19		UTC	87.61				
USGS	430429089230301	GW	1957-05-20		UTC	87.36				
USGS	430429089230301	GW	1957-05-21		UTC	87.17				
USGS	430429089230301	GW	1957-05-22		UTC	87.04				
USGS	430429089230301	GW	1957-05-23		UTC	87.01				
USGS	430429089230301	GW	1957-05-24		UTC	87.03				
USGS	430429089230301	GW	1957-05-25		UTC	87.05				
USGS	430429089230301	GW	1957-05-26		UTC	87.01				
USGS	430429089230301	GW	1957-05-27		UTC	86.85				
USGS	430429089230301	GW	1957-05-28		UTC	86.71				
USGS	430429089230301	GW	1957-05-29		UTC	86.78				
USGS	430429089230301	GW	1957-05-30		UTC	86.82				
USGS	430429089230301	GW	1957-05-31		UTC	86.8				
USGS	430429089230301	GW	1957-06-01		UTC	86.75				
USGS	430429089230301	GW	1957-06-02		UTC	86.77				
USGS	430429089230301	GW	1957-06-03		UTC	86.75				
USGS	430429089230301	GW	1957-06-04		UTC	87.05				
USGS	430429089230301	GW	1957-06-05		UTC	87.32				
USGS	430429089230301	GW	1957-06-06		UTC	87.42				
USGS	430429089230301	GW	1957-06-07		UTC	87.51				
USGS	430429089230301	GW	1957-06-08		UTC	87.61				
USGS	430429089230301	GW	1957-06-09		UTC	87.7				
USGS	430429089230301	GW	1957-06-10		UTC	87.8				
USGS	430429089230301	GW	1957-06-11		UTC	87.86				
USGS	430429089230301	GW	1957-06-12		UTC	87.99				
USGS	430429089230301	GW	1957-06-13		UTC	88.01				
USGS	430429089230301	GW	1957-06-14		UTC	88.03				
USGS	430429089230301	GW	1957-06-15		UTC	88.14				
USGS	430429089230301	GW	1957-06-16		UTC	88.14				
USGS	430429089230301	GW	1957-06-17		UTC	88.1				
USGS	430429089230301	GW	1957-06-18		UTC	88.13				
USGS	430429089230301	GW	1957-06-19		UTC	88.23				
USGS	430429089230301	GW	1957-06-20		UTC	88.35				
USGS	430429089230301	GW	1957-06-21		UTC	88.5				
USGS	430429089230301	GW	1957-06-22		UTC	88.61				
USGS	430429089230301	GW	1957-06-23		UTC	88.81				
USGS	430429089230301	GW	1957-06-24		UTC	88.96				
USGS	430429089230301	GW	1957-06-25		UTC	89.04				
USGS	430429089230301	GW	1957-06-26		UTC	89.22				
USGS	430429089230301	GW	1957-06-27		UTC	89.22				
USGS	430429089230301	GW	1957-06-28		UTC	89.33				
USGS	430429089230301	GW	1957-06-29		UTC	89.33				
USGS	430429089230301	GW	1957-06-30		UTC	88.93				
USGS	430429089230301	GW	1957-07-01		UTC	88.5				
USGS	430429089230301	GW	1957-07-02		UTC	88.22				
USGS	430429089230301	GW	1957-07-03		UTC	88.18				
USGS	430429089230301	GW	1957-07-04		UTC	88.19				
USGS	430429089230301	GW	1957-07-05		UTC	88.1				
USGS	430429089230301	GW	1957-07-06		UTC	88.11				
USGS	430429089230301	GW	1957-07-07		UTC	88.03				
USGS	430429089230301	GW	1957-07-08		UTC	87.97				
USGS	430429089230301	GW	1957-07-09		UTC	88.02				
USGS	430429089230301	GW	1957-07-10		UTC	88.2				
USGS	430429089230301	GW	1957-07-11		UTC	88.45				
USGS	430429089230301	GW	1957-07-12		UTC	88.75				
USGS	430429089230301	GW	1957-07-13		UTC	88.85				
USGS	430429089230301	GW	1957-07-14		UTC	88.85				
USGS	430429089230301	GW	1957-07-15		UTC	88.81				
USGS	430429089230301	GW	1957-07-16		UTC	88.71				
USGS	430429089230301	GW	1957-07-17		UTC	88.71				
USGS	430429089230301	GW	1957-07-18		UTC	88.67				
USGS	430429089230301	GW	1957-07-19		UTC	88.76				
USGS	430429089230301	GW	1957-07-20		UTC	88.85				
USGS	430429089230301	GW	1957-07-21		UTC	88.89				
USGS	430429089230301	GW	1957-07-22		UTC	88.89				
USGS	430429089230301	GW	1957-07-23		UTC	88.84				
USGS	430429089230301	GW	1957-07-24		UTC	88.85				
USGS	430429089230301	GW	1957-07-25		UTC	88.85				
USGS	430429089230301	GW	1957-07-26		UTC	88.88				
USGS	430429089230301	GW	1957-07-27		UTC	88.93				
USGS	430429089230301	GW	1957-07-28		UTC	88.93				
USGS	430429089230301	GW	1957-07-29		UTC	88.88				
USGS	430429089230301	GW	1957-07-30		UTC	89.02				
USGS	430429089230301	GW	1957-07-31		UTC	89.21				
USGS	430429089230301	GW	1957-08-01		UTC	89.28				
USGS	430429089230301	GW	1957-08-02		UTC	89.36				
USGS	430429089230301	GW	1957-08-03		UTC	89.43				
USGS	430429089230301	GW	1957-08-04		UTC	89.51				
USGS	430429089230301	GW	1957-08-05		UTC	89.58				
USGS	430429089230301	GW	1957-08-06		UTC	89.66				
USGS	430429089230301	GW	1957-08-07		UTC	89.76				
USGS	430429089230301	GW	1957-08-08		UTC	89.95				
USGS	430429089230301	GW	1957-08-09		UTC	90.19				
USGS	430429089230301	GW	1957-08-10		UTC	90.2				
USGS	430429089230301	GW	1957-08-11		UTC	90.2				
USGS	430429089230301	GW	1957-08-12		UTC	89.98				
USGS	430429089230301	GW	1957-08-13		UTC	89.76				
USGS	430429089230301	GW	1957-08-14		UTC	89.73				
USGS	430429089230301	GW	1957-08-15		UTC	89.73				
USGS	430429089230301	GW	1957-08-16		UTC	89.93				
USGS	430429089230301	GW	1957-08-17		UTC	90.02				
USGS	430429089230301	GW	1957-08-18		UTC	90.01				
USGS	430429089230301	GW	1957-08-19		UTC	89.81				
USGS	430429089230301	GW	1957-08-20		UTC	89.62				
USGS	430429089230301	GW	1957-08-21		UTC	89.55				
USGS	430429089230301	GW	1957-08-22		UTC	89.7				
USGS	430429089230301	GW	1957-08-23		UTC	89.86				
USGS	430429089230301	GW	1957-08-24		UTC	89.88				
USGS	430429089230301	GW	1957-08-25		UTC	89.86				
USGS	430429089230301	GW	1957-08-26		UTC	89.65				
USGS	430429089230301	GW	1957-08-27		UTC	89.45				
USGS	430429089230301	GW	1957-08-28		UTC	89.44				
USGS	430429089230301	GW	1957-08-29		UTC	89.32				
USGS	430429089230301	GW	1957-08-30		UTC	89.3				
USGS	430429089230301	GW	1957-08-31		UTC	89.3				
USGS	430429089230301	GW	1957-09-01		UTC	89.29				
USGS	430429089230301	GW	1957-09-02		UTC	89.07				
USGS	430429089230301	GW	1957-09-03		UTC	88.75				
USGS	430429089230301	GW	1957-09-04		UTC	88.54				
USGS	430429089230301	GW	1957-09-05		UTC	88.63				
USGS	430429089230301	GW	1957-09-06		UTC	88.63				
USGS	430429089230301	GW	1957-09-07		UTC	88.63				
USGS	430429089230301	GW	1957-09-08		UTC	88.6				
USGS	430429089230301	GW	1957-09-09		UTC	88.25				
USGS	430429089230301	GW	1957-09-10		UTC	88.15				
USGS	430429089230301	GW	1957-09-11		UTC	88.23				
USGS	430429089230301	GW	1957-09-12		UTC	88.26				
USGS	430429089230301	GW	1957-09-13		UTC	88.33				
USGS	430429089230301	GW	1957-09-14		UTC	88.38				
USGS	430429089230301	GW	1957-09-15		UTC	88.38				
USGS	430429089230301	GW	1957-09-16		UTC	88.23				
USGS	430429089230301	GW	1957-09-17		UTC	88.03				
USGS	430429089230301	GW	1957-09-18		UTC	88.01				
USGS	430429089230301	GW	1957-09-19		UTC	88.1				
USGS	430429089230301	GW	1957-09-20		UTC	88.25				
USGS	430429089230301	GW	1957-09-21		UTC	88.26				
USGS	430429089230301	GW	1957-09-22		UTC	88.21				
